"H.集計対象営業年月日","H.曜日","H.伝票発行日","H.伝票処理日","H.客数（合計）","H.小計","H.総商品数","D.商品カテゴリ1","D.商品カテゴリ2","D.商品","D.サブメニュー","D.価格","D.数量","D.オーダー日時","D.オーダーステータス"
"2026/04/03","金","2026/04/03 17:22:13","2026/04/03 21:14:14","3","36300","6","ドリンク","フリー","00000002313:追加飲み放題","","1100","1","2026/04/03 19:07:39","20:配膳済"
"2026/04/03","金","2026/04/03 17:22:13","2026/04/03 21:14:14","3","36300","6","ドリンク","フリー","00000002313:追加飲み放題","","1100","1","2026/04/03 19:07:39","20:配膳済"
"2026/04/03","金","2026/04/03 17:22:13","2026/04/03 21:14:14","3","36300","6","ドリンク","フリー","00000002313:追加飲み放題","","1100","1","2026/04/03 19:07:39","20:配膳済"
"2026/04/03","金","2026/04/03 17:22:13","2026/04/03 21:14:14","3","36300","6","フード","お通し","00000004006:お通し","","0","0","2026/04/03 20:36:37","30:キャンセル済"
"2026/04/03","金","2026/04/03 17:22:13","2026/04/03 21:14:14","3","36300","6","フード","お通し","00000004006:お通し","","0","0","2026/04/03 20:36:37","30:キャンセル済"
"2026/04/03","金","2026/04/03 17:22:13","2026/04/03 21:14:14","3","36300","6","フード","おすすめ","00000003593:鰻ヒレ串","","0","0","2026/04/03 20:36:37","30:キャンセル済"
"2026/04/03","金","2026/04/03 17:22:13","2026/04/03 21:14:14","3","36300","6","フード","おすすめ","00000003593:鰻ヒレ串","","0","0","2026/04/03 20:36:37","30:キャンセル済"
"2026/04/03","金","2026/04/03 17:22:13","2026/04/03 21:14:14","3","36300","6","フード","おすすめ","00000004271:筍焼き","","0","0","2026/04/03 20:36:37","30:キャンセル済"
"2026/04/03","金","2026/04/03 17:22:13","2026/04/03 21:14:14","3","36300","6","フード","鰻料理","00000002558:肝焼き","","0","0","2026/04/03 20:36:37","30:キャンセル済"
"2026/04/03","金","2026/04/03 17:22:13","2026/04/03 21:14:14","3","36300","6","フード","鰻料理","00000002558:肝焼き","","0","0","2026/04/03 20:36:37","30:キャンセル済"
"2026/04/03","金","2026/04/03 17:22:13","2026/04/03 21:14:14","3","36300","6","フード","鰻料理","00000002555:うな重 梅","並盛x1","0","0","2026/04/03 20:36:37","30:キャンセル済"
"2026/04/03","金","2026/04/03 17:22:13","2026/04/03 21:14:14","3","36300","6","フード","お刺身","00000001072:お刺身盛合せ","三点1人前x1","0","0","2026/04/03 20:36:37","30:キャンセル済"
"2026/04/03","金","2026/04/03 17:22:13","2026/04/03 21:14:14","3","36300","6","フード","お刺身","00000000177:生うに","","0","0","2026/04/03 20:36:37","30:キャンセル済"
"2026/04/03","金","2026/04/03 17:22:13","2026/04/03 21:14:14","3","36300","6","ドリンク","日本酒","00000004260:裏男山","","0","0","2026/04/03 20:36:37","30:キャンセル済"
"2026/04/03","金","2026/04/03 17:22:13","2026/04/03 21:14:14","3","36300","6","ドリンク","ソフトドリンク","00000000047:コーラ","","0","0","2026/04/03 20:36:37","30:キャンセル済"
"2026/04/03","金","2026/04/03 17:52:47","2026/04/03 21:59:13","0","4400","1","ウーバーイーツ","鰻料理","00000004086:uberうな重梅","","4400","1","2026/04/03 17:52:47","20:配膳済"
