"H.伝票番号","H.集計対象営業年月日","H.曜日","H.伝票発行日","H.伝票処理日","H.客数（合計）","H.小計","H.総商品数","D.商品カテゴリ1","D.商品カテゴリ2","D.サブメニュー","D.価格","D.オーダー日時","D.数量","D.オーダーステータス","D.商品"
"No:202500100007287","2026/02/16","月","2026/02/16 17:37:04","2026/02/16 17:41:54","0","4180","3","ウーバーイーツ","鰻料理","","0","2026/02/16 17:37:04","1","20:配膳済","00000004091:uber肝焼きプロモーション"
"No:202500100007288","2026/02/16","月","2026/02/16 17:37:19","2026/02/16 17:42:07","0","1200","1","ロケットナウ","お弁当","","1200","2026/02/16 17:37:19","1","20:配膳済","00000003686:ロケット生姜焼き弁当"
"No:202500100007289","2026/02/16","月","2026/02/16 17:43:10","2026/02/16 20:38:38","6","48000","6","コース","コース","","8000","2026/02/16 17:43:10","1","20:配膳済","00000004205:歓送迎会コース飲み放題"
"No:202500100007289","2026/02/16","月","2026/02/16 17:43:10","2026/02/16 20:38:38","6","48000","6","コース","コース","","8000","2026/02/16 17:43:10","1","20:配膳済","00000004205:歓送迎会コース飲み放題"
"No:202500100007289","2026/02/16","月","2026/02/16 17:43:10","2026/02/16 20:38:38","6","48000","6","コース","コース","","8000","2026/02/16 17:43:10","1","20:配膳済","00000004205:歓送迎会コース飲み放題"
"No:202500100007289","2026/02/16","月","2026/02/16 17:43:10","2026/02/16 20:38:38","6","48000","6","コース","コース","","8000","2026/02/16 17:43:10","1","20:配膳済","00000004205:歓送迎会コース飲み放題"
"No:202500100007289","2026/02/16","月","2026/02/16 17:43:10","2026/02/16 20:38:38","6","48000","6","コース","コース","","8000","2026/02/16 17:43:10","1","20:配膳済","00000004205:歓送迎会コース飲み放題"
"No:202500100007289","2026/02/16","月","2026/02/16 17:43:10","2026/02/16 20:38:38","6","48000","6","コース","コース","","8000","2026/02/16 17:43:10","1","20:配膳済","00000004205:歓送迎会コース飲み放題"
"No:202500100007290","2026/02/16","月","2026/02/16 17:44:06","2026/02/16 21:36:41","2","17330","18","フード","お通し","","660","2026/02/16 17:44:06","1","20:配膳済","00000004006:お通し"
"No:202500100007290","2026/02/16","月","2026/02/16 17:44:06","2026/02/16 21:36:41","2","17330","18","フード","お通し","","660","2026/02/16 17:44:06","1","20:配膳済","00000004006:お通し"
