取引No,会計日,会計時間,合計,小計,内消費税,修正金額合計,修正後合計,修正後内消費税,現金,クレジットカード(Airペイ),交通系電子マネー(Airペイ),QUICPay(Airペイ),iD(Airペイ),QR決済(Airペイ QR),クレジットカード(オンライン決済),クレジットカード/電子マネー(Square),ポイント(Airペイ ポイント),ポイント(ホットペッパーグルメ),Pontaポイント(Airウォレット),金券合計,売掛合計,おつり,現金以外おつり不支払額,全体割引/割増(税込),個別割引/割増(税込),割引/割増合計(税込),人数,商品点数,滞在時間,伝票名,レジ担当者名,ID,カテゴリー名,メニュー名,価格,注文数量,メモ
RB0120260606182141000,2026/06/06,20:45:18,28000,28000,2545,0,28000,2545,0,28000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,02:23:37,"E","橋本",63A38525422B40CB8C04D4C0E546F19D,"その他","tablecharge",600,5,"新規"
RB0120260606182141000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63A38525422B40CB8C04D4C0E546F19D,"コース&セット","5000円飲み放題付（2時間制）",5000,5,
RB0120260606181258000,2026/06/06,21:17:12,29400,30400,2672,0,29400,2672,0,29400,0,0,0,0,0,0,0,0,0,0,0,0,0,-1000,0,-1000,4,8,03:04:14,"D","橋本",EB7AB3E23E97424FABB2132A199C5F69,"その他","tablecharge",600,4,"新規"
RB0120260606181258000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EB7AB3E23E97424FABB2132A199C5F69,"未設定","7000円飲み放題付（3時間制）",7000,4,
RB0120260606174750000,2026/06/06,21:19:38,16300,16300,1481,0,16300,1481,0,16300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,03:31:48,"C","橋本",4AD49B2B223F4ADEBCCA81CA0F73631A,"未設定","7000円飲み放題付（3時間制）",7000,2,"玉利さんの取引先の方"
RB0120260606174750000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4AD49B2B223F4ADEBCCA81CA0F73631A,"COLD APPETIZERS","BFAカプレーゼ",1100,1,
RB0120260606174750000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4AD49B2B223F4ADEBCCA81CA0F73631A,"COLD APPETIZERS","ワカモレチップス",1200,1,
RB0120260606202829000,2026/06/06,23:12:24,8900,8900,809,0,8900,809,0,8900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,02:43:55,"7, 8","橋本",A5DC4A94257547D4B73DF667B83D915D,"その他","tablecharge",600,2,"リピーター"
RB0120260606202829000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A5DC4A94257547D4B73DF667B83D915D,"ジャパニーズウイスキー","白州",1800,2,
RB0120260606202829000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A5DC4A94257547D4B73DF667B83D915D,"ジャパニーズウイスキー","イチローズモルト ホワイトラベル",1400,1,
RB0120260606202829000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A5DC4A94257547D4B73DF667B83D915D,"ウイスキー","イーガンズ",1400,1,
RB0120260606202829000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A5DC4A94257547D4B73DF667B83D915D,"COLD APPETIZERS","マッシュルームサラダとコールドカット",1300,1,
RB0120260606203654000,2026/06/06,23:23:58,45800,45800,4163,0,45800,4163,0,45800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,32,02:47:04,"A, B","橋本",12FC2A0E5DAC40F485FBBB2FC6C56CDE,"その他","ドリンク",1200,2,"リピーター"
RB0120260606203654000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12FC2A0E5DAC40F485FBBB2FC6C56CDE,"その他","tablecharge",600,5,
RB0120260606203654000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12FC2A0E5DAC40F485FBBB2FC6C56CDE,"ジン","タンカレー",1200,2,
RB0120260606203654000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12FC2A0E5DAC40F485FBBB2FC6C56CDE,"ウイスキー（ハイボール・ボトル・オリジナル）","ハウスハイボール",1200,1,
RB0120260606203654000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12FC2A0E5DAC40F485FBBB2FC6C56CDE,"ジャパニーズウイスキー","白州",1800,4,
