取引No,来店日,来店時間,会計日,会計時間,合計,小計,内消費税,修正金額合計,修正後合計,修正後内消費税,現金,クレジットカード(Airペイ),交通系電子マネー(Airペイ),QUICPay(Airペイ),iD(Airペイ),QR決済(Airペイ),QR決済(Airペイ QR),クレジットカード/電子マネー(Square),ポイント(Airペイ ポイント),ポイント(ホットペッパーグルメ),Pontaポイント(Airウォレット),金券内訳,売掛内訳,金券合計,売掛合計,おつり,現金以外おつり不支払額,全体割引/割増(税込),個別割引/割増(税込),まとめ買い割引(税込),割引/割増合計(税込),人数,商品点数,滞在時間,伝票名,レジID,レジ担当者名,リソース名,ID,カテゴリー名,メニュー名,種別１,種別２,価格,注文数量,個別割引/割増数量,個別割引/割増単価,単位,個別割引/割増合計額,まとめ買い割引名,まとめ買い割引セット価格,まとめ買い割引セット数,まとめ買い割引数,まとめ買い割引合計額
HD0020260214173726117,2026/02/14,17:36:39,2026/02/14,19:38:43,11288,11288,1026,0,11288,1026,0,0,0,0,11288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,22,02:02:04,"T5",0001,"小島陽","未設定",3978C65CDA8F4A15A58F02809D46463A,"アルコール","かめやハイボール","かめやハイボール","",550,1,0,0,-,0,"",0,0,0,0
HD0020260214173726117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3978C65CDA8F4A15A58F02809D46463A,"アルコール","緑茶ハイ","ノーマル","",495,1,0,0,-,0,"",0,0,0,0
HD0020260214173726117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3978C65CDA8F4A15A58F02809D46463A,"ソフトドリンク","オレンジ【100%】","","",440,2,0,0,-,0,"",0,0,0,0
HD0020260214173726117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3978C65CDA8F4A15A58F02809D46463A,"ソフトドリンク","コーラ【瓶】","","",440,1,0,0,-,0,"",0,0,0,0
HD0020260214173726117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3978C65CDA8F4A15A58F02809D46463A,"単品料理","枝豆","","",418,1,0,0,-,0,"",0,0,0,0
HD0020260214173726117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3978C65CDA8F4A15A58F02809D46463A,"単品料理","梅水晶","","",528,1,0,0,-,0,"",0,0,0,0
HD0020260214173726117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3978C65CDA8F4A15A58F02809D46463A,"日本酒","大那【超辛口純米】","","",1320,2,0,0,-,0,"",0,0,0,0
HD0020260214173726117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3978C65CDA8F4A15A58F02809D46463A,"お通し","お通し","男性","",330,1,0,0,-,0,"",0,0,0,0
HD0020260214173726117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3978C65CDA8F4A15A58F02809D46463A,"お通し","お通し","女性","",330,1,0,0,-,0,"",0,0,0,0
HD0020260214173726117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3978C65CDA8F4A15A58F02809D46463A,"串焼き","レタス巻き","レタスチーズ炙り","",365,1,0,0,-,0,"",0,0,0,0
