business_date,day_sales_total,mean_duration_min,mean_sales_per_guest,mean_guests,n_bills,day_sales_category
2025/08/27,107834,100.22666666666667,3785.755555555556,2.0,15,低売上日
2025/08/28,191071,101.03431372549021,3341.244117647059,3.2941176470588234,17,低売上日
2025/08/29,330059,97.03076923076922,4199.029914529914,2.128205128205128,39,高売上日
2025/08/30,256267,93.8900900900901,2943.153153153153,2.3783783783783785,37,高売上日
2025/08/31,225258,80.49444444444445,3014.3240476190476,2.466666666666667,30,高売上日
2025/09/01,136570,97.565625,2801.85625,2.6875,16,低売上日
2025/09/02,130185,91.19083333333333,3092.0333333333333,2.25,20,低売上日
2025/09/03,139779,107.27352941176471,3571.794117647059,2.4705882352941178,17,低売上日
2025/09/04,118246,100.64019607843137,3122.365546218487,2.823529411764706,17,低売上日
2025/09/05,159636,103.3851851851852,3674.386243386243,2.4444444444444446,18,低売上日
2025/09/06,243564,89.8537037037037,3104.251851851852,2.1944444444444446,36,高売上日
2025/09/07,194094,89.06133333333334,3448.68,2.28,25,低売上日
2025/09/08,138915,101.63684210526316,2844.925647451963,3.4210526315789473,19,低売上日
2025/09/09,214626,98.77430555555556,3402.835218253968,2.5416666666666665,24,高売上日
2025/09/10,179041,90.6525,3170.253333333333,2.75,20,低売上日
2025/09/11,177875,102.76754385964912,3064.8551378446114,2.8421052631578947,19,低売上日
2025/09/12,212132,96.85151515151514,3646.7803030303035,2.727272727272727,22,高売上日
2025/09/13,242712,100.52413793103447,3180.4770114942526,2.689655172413793,29,高売上日
2025/09/14,254034,87.2225,2885.0733333333333,2.225,40,高売上日
2025/09/15,156918,85.33641975308643,2680.5833333333335,2.1481481481481484,27,低売上日
2025/09/16,122446,83.87962962962962,2955.462962962963,2.3333333333333335,18,低売上日
2025/09/17,123334,105.4843137254902,3315.2156862745096,2.1176470588235294,17,低売上日
2025/09/18,100749,98.6452380952381,3143.464285714286,2.2142857142857144,14,低売上日
2025/09/19,199069,98.22266666666667,3043.163333333333,2.72,25,高売上日
2025/09/20,222950,91.70611111111111,3515.2277777777776,2.1,30,高売上日
2025/09/21,224615,89.73944444444444,2857.8385714285714,2.7,30,高売上日
2025/09/22,240190,85.052688172043,3125.94623655914,2.2903225806451615,31,高売上日
2025/09/23,207273,78.57824074074074,2643.164351851852,2.1666666666666665,36,高売上日
2025/09/24,179581,105.3659090909091,3210.5613636363637,2.409090909090909,22,低売上日
2025/09/25,148337,100.98645833333333,3300.5061011904763,2.75,16,低売上日
2025/09/26,153004,86.8159420289855,2904.314906832298,2.3043478260869565,23,低売上日
2025/09/27,217256,78.66621621621621,2513.3900900900903,2.2162162162162162,37,高売上日
2025/09/28,238388,88.52009803921568,2802.264705882353,2.5588235294117645,34,高売上日
2025/09/29,178721,118.26159420289854,3595.231884057971,2.1739130434782608,23,低売上日
2025/09/30,257694,79.2224358974359,3300.7930402930406,3.0384615384615383,26,高売上日
2025/10/01,178209,84.51212121212122,2499.7364718614717,2.909090909090909,22,低売上日
2025/10/02,178023,99.05000000000001,3657.0231481481483,2.6666666666666665,18,低売上日
2025/10/03,246480,108.85466666666667,3155.584761904762,2.92,25,高売上日
2025/10/04,223243,94.20987654320987,3318.1993827160495,2.4814814814814814,27,高売上日
2025/10/05,225643,89.05677083333333,3199.6484375,2.21875,32,高売上日
2025/10/06,186176,95.41884057971014,3572.7536231884055,2.3043478260869565,23,低売上日
2025/10/07,208061,92.56811594202898,3556.938405797101,2.5217391304347827,23,高売上日
2025/10/08,168820,87.66666666666666,3056.516666666667,2.2,25,低売上日
2025/10/09,141137,96.10416666666667,3652.84375,2.4375,16,低売上日
2025/10/10,250956,90.66666666666666,3338.3433333333332,3.04,25,高売上日
2025/10/11,205387,89.2963768115942,3230.326811594203,2.782608695652174,23,高売上日
2025/10/12,294039,84.47054263565892,3221.8100775193802,2.2093023255813953,43,高売上日
2025/10/13,200885,89.78333333333333,3122.7755952380953,2.357142857142857,28,高売上日
2025/10/14,157250,112.0537037037037,3822.660185185185,2.2777777777777777,18,低売上日
2025/10/15,145979,90.21666666666667,3383.6686274509807,2.4705882352941178,17,低売上日
2025/10/16,176334,97.63425925925927,3603.5694444444443,2.6666666666666665,18,低売上日
2025/10/17,261518,101.63777777777777,3453.5833333333335,2.566666666666667,30,高売上日
2025/10/18,236173,95.84677419354838,3106.3822580645165,2.5161290322580645,31,高売上日
2025/10/19,306446,86.99871794871794,3681.436324786325,2.2564102564102564,39,高売上日
2025/10/20,199677,92.38484848484849,5170.943181818182,2.090909090909091,22,高売上日
2025/10/21,117165,80.68039215686274,3723.705882352941,1.8235294117647058,17,低売上日
2025/10/22,143328,90.66,3691.4,3.5,10,低売上日
2025/10/23,44106,79.55625,3116.1875,1.875,8,低売上日
2025/10/24,222357,108.64047619047618,3599.037301587302,2.9523809523809526,21,高売上日
2025/10/25,252250,91.8578431372549,2973.223529411765,2.4705882352941178,34,高売上日
2025/10/26,144591,75.38730158730158,3107.579365079365,2.2857142857142856,21,低売上日
2025/10/27,95911,75.33999999999999,2875.1533333333336,2.066666666666667,15,低売上日
2025/10/28,161901,91.95530303030303,3305.181818181818,2.227272727272727,22,低売上日
2025/10/29,187009,97.96000000000001,4008.1125,2.35,20,低売上日
2025/10/30,115864,91.7421568627451,3368.2843137254904,2.0588235294117645,17,低売上日
2025/10/31,195887,88.65072463768117,3696.3297101449275,2.3043478260869565,23,高売上日
2025/11/01,227559,88.21666666666667,3161.032304526749,2.814814814814815,27,高売上日
2025/11/02,295630,95.78585858585859,3349.3685786435785,2.5757575757575757,33,高売上日
