business_date,entry_16_bucket,mean_duration_min,mean_sales_per_guest,mean_guests,n_bills,day_sales_total,day_sales_category
2025/09/06,16時以降入店,88.90747126436781,3128.467816091954,2.2413793103448274,29,243564,高売上日
2025/09/06,16時前入店,93.77380952380952,3003.9285714285716,2.0,7,243564,高売上日
2025/09/07,16時以降入店,91.59473684210526,3565.359649122807,2.3157894736842106,19,194094,低売上日
2025/09/07,16時前入店,81.03888888888889,3079.194444444445,2.1666666666666665,6,194094,低売上日
2025/09/08,16時以降入店,103.4074074074074,2783.9029982363313,3.4444444444444446,18,138915,低売上日
2025/09/08,16時前入店,69.76666666666667,3943.3333333333335,3.0,1,138915,低売上日
2025/09/09,16時以降入店,103.60833333333333,3591.6156926406925,2.6363636363636362,22,214626,高売上日
2025/09/09,16時前入店,45.599999999999994,1326.25,1.5,2,214626,高売上日
2025/09/10,16時以降入店,93.8824074074074,3073.337037037037,2.888888888888889,18,179041,低売上日
2025/09/10,16時前入店,61.583333333333336,4042.5,1.5,2,179041,低売上日
2025/09/11,16時以降入店,103.42380952380952,3124.303401360544,3.2857142857142856,14,177875,低売上日
2025/09/11,16時前入店,100.92999999999999,2898.4,1.6,5,177875,低売上日
2025/09/12,16時以降入店,97.25952380952381,3653.412698412699,2.761904761904762,21,212132,高売上日
2025/09/12,16時前入店,88.28333333333333,3507.5,2.0,1,212132,高売上日
2025/09/13,16時以降入店,104.40416666666665,3197.9375,2.8333333333333335,24,242712,高売上日
2025/09/13,16時前入店,81.9,3096.6666666666665,2.0,5,242712,高売上日
2025/09/14,16時以降入店,92.19935897435897,3020.8500000000004,2.3076923076923075,26,254034,高売上日
2025/09/14,16時前入店,77.9797619047619,2632.916666666667,2.0714285714285716,14,254034,高売上日
2025/09/15,16時以降入店,88.6375,2736.0625,2.2,20,156918,低売上日
2025/09/15,16時前入店,75.90476190476191,2522.0714285714284,2.0,7,156918,低売上日
2025/09/16,16時以降入店,82.4095238095238,2924.1309523809527,2.5,14,122446,低売上日
2025/09/16,16時前入店,89.025,3065.125,1.75,4,122446,低売上日
2025/09/17,16時以降入店,111.71904761904761,3408.797619047619,2.2142857142857144,14,123334,低売上日
2025/09/17,16時前入店,76.3888888888889,2878.5,1.6666666666666667,3,123334,低売上日
2025/09/18,16時以降入店,108.18888888888888,3342.75,2.25,12,100749,低売上日
2025/09/18,16時前入店,41.38333333333333,1947.75,2.0,2,100749,低売上日
2025/09/19,16時以降入店,100.33913043478262,2986.8949275362315,2.8260869565217392,23,199069,高売上日
2025/09/19,16時前入店,73.88333333333333,3690.25,1.5,2,199069,高売上日
2025/09/20,16時以降入店,89.00486111111111,3424.180555555555,2.1666666666666665,24,222950,高売上日
2025/09/20,16時前入店,102.5111111111111,3879.4166666666665,1.8333333333333333,6,222950,高売上日
2025/09/21,16時以降入店,88.9768115942029,2794.1763975155277,2.739130434782609,23,224615,高売上日
2025/09/21,16時前入店,92.2452380952381,3067.0142857142855,2.5714285714285716,7,224615,高売上日
2025/09/22,16時以降入店,89.38209876543209,3346.777777777778,2.3333333333333335,27,240190,高売上日
2025/09/22,16時前入店,55.829166666666666,1635.3333333333335,2.0,4,240190,高売上日
2025/09/23,16時以降入店,79.11159420289854,2576.144927536232,2.130434782608696,23,207273,高売上日
2025/09/23,16時前入店,77.63461538461539,2761.7371794871797,2.230769230769231,13,207273,高売上日
2025/09/24,16時以降入店,110.76500000000001,3437.2425000000003,2.45,20,179581,低売上日
2025/09/24,16時前入店,51.375,943.75,2.0,2,179581,低売上日
2025/09/25,16時以降入店,102.20777777777776,3341.7398412698412,2.8666666666666667,15,148337,低売上日
2025/09/25,16時前入店,82.66666666666667,2682.0,1.0,1,148337,低売上日
2025/09/26,16時以降入店,93.86416666666666,2962.2871428571425,2.45,20,153004,低売上日
2025/09/26,16時前入店,39.827777777777776,2517.8333333333335,1.3333333333333333,3,153004,低売上日
2025/09/27,16時以降入店,79.48666666666666,2482.5266666666666,2.2285714285714286,35,217256,高売上日
2025/09/27,16時前入店,64.30833333333334,3053.5,2.0,2,217256,高売上日
2025/09/28,16時以降入店,91.31913580246913,2899.935185185185,2.4814814814814814,27,238388,高売上日
2025/09/28,16時前入店,77.72380952380954,2425.535714285714,2.857142857142857,7,238388,高売上日
2025/09/29,16時以降入店,120.88181818181819,3711.992424242424,2.1818181818181817,22,178721,低売上日
2025/09/29,16時前入店,60.61666666666667,1026.5,2.0,1,178721,低売上日
2025/09/30,16時以降入店,80.16133333333333,3318.5047619047623,3.08,25,257694,高売上日
2025/09/30,16時前入店,55.75,2858.0,2.0,1,257694,高売上日
2025/10/01,16時以降入店,90.51944444444445,2394.983465608466,3.2222222222222223,18,178209,低売上日
2025/10/01,16時前入店,57.47916666666667,2971.125,1.5,4,178209,低売上日
2025/10/02,16時以降入店,101.35416666666667,3726.8072916666665,2.75,16,178023,低売上日
2025/10/02,16時前入店,80.61666666666667,3098.75,2.0,2,178023,低売上日
2025/10/03,16時以降入店,108.85466666666667,3155.584761904762,2.92,25,246480,高売上日
2025/10/04,16時以降入店,95.8079365079365,3451.256349206349,2.619047619047619,21,223243,高売上日
2025/10/04,16時前入店,88.61666666666667,2852.5,2.0,6,223243,高売上日
2025/10/05,16時以降入店,88.125,3271.9895833333335,2.375,24,225643,高売上日
2025/10/05,16時前入店,91.85208333333334,2982.625,1.75,8,225643,高売上日
2025/10/06,16時以降入店,100.05499999999999,3669.9916666666663,2.35,20,186176,低売上日
2025/10/06,16時前入店,64.5111111111111,2924.5,2.0,3,186176,低売上日
2025/10/07,16時以降入店,93.82045454545455,3601.117424242424,2.590909090909091,22,208061,高売上日
2025/10/07,16時前入店,65.01666666666667,2585.0,1.0,1,208061,高売上日
2025/10/08,16時以降入店,90.40454545454546,3153.6553030303035,2.3181818181818183,22,168820,低売上日
2025/10/08,16時前入店,67.58888888888889,2344.1666666666665,1.3333333333333333,3,168820,低売上日
2025/10/09,16時以降入店,95.50888888888888,3702.4,2.466666666666667,15,141137,低売上日
2025/10/09,16時前入店,105.03333333333333,2909.5,2.0,1,141137,低売上日
2025/10/10,16時以降入店,91.76666666666667,3374.1701388888887,3.0833333333333335,24,250956,高売上日
2025/10/10,16時前入店,64.26666666666667,2478.5,2.0,1,250956,高売上日
2025/10/11,16時以降入店,84.25526315789473,3131.34649122807,2.736842105263158,19,205387,高売上日
2025/10/11,16時前入店,113.24166666666666,3700.4833333333336,3.0,4,205387,高売上日
2025/10/12,16時以降入店,87.3125,3353.2685185185187,2.25,36,294039,高売上日
2025/10/12,16時前入店,69.8547619047619,2545.7380952380954,2.0,7,294039,高売上日
2025/10/13,16時以降入店,93.30438596491229,3289.3271929824564,2.4210526315789473,19,200885,高売上日
2025/10/13,16時前入店,82.35,2771.1666666666665,2.2222222222222223,9,200885,高売上日
2025/10/14,16時以降入店,112.86960784313726,3873.1401960784315,2.2941176470588234,17,157250,低売上日
2025/10/14,16時前入店,98.18333333333334,2964.5,2.0,1,157250,低売上日
2025/10/15,16時以降入店,92.44791666666667,3514.710416666667,2.5,16,145979,低売上日
2025/10/15,16時前入店,54.516666666666666,1287.0,2.0,1,145979,低売上日
2025/10/16,16時以降入店,98.36666666666667,3523.8382352941176,2.7058823529411766,17,176334,低売上日
2025/10/16,16時前入店,85.18333333333334,4959.0,2.0,1,176334,低売上日
2025/10/17,16時以降入店,104.61172839506173,3468.0,2.6666666666666665,27,261518,高売上日
2025/10/17,16時前入店,74.87222222222222,3323.8333333333335,1.6666666666666667,3,261518,高売上日
2025/10/18,16時以降入店,89.4923076923077,3165.01858974359,2.4615384615384617,26,236173,高売上日
2025/10/18,16時前入店,128.89000000000001,2801.4733333333334,2.8,5,236173,高売上日
2025/10/19,16時以降入店,95.89,4215.8240000000005,2.16,25,306446,高売上日
2025/10/19,16時前入店,71.12142857142858,2727.172619047619,2.4285714285714284,14,306446,高売上日
2025/10/20,16時以降入店,92.38484848484849,5170.943181818182,2.090909090909091,22,199677,高売上日
2025/10/21,16時以降入店,83.88222222222223,3697.0666666666666,1.8666666666666667,15,117165,低売上日
2025/10/21,16時前入店,56.66666666666667,3923.5,1.5,2,117165,低売上日
2025/10/22,16時以降入店,100.32407407407408,3898.0555555555557,3.6666666666666665,9,143328,低売上日
2025/10/22,16時前入店,3.683333333333333,1831.5,2.0,1,143328,低売上日
2025/10/23,16時以降入店,85.48333333333333,3064.785714285714,2.0,7,44106,低売上日
2025/10/23,16時前入店,38.06666666666667,3476.0,1.0,1,44106,低売上日
2025/10/24,16時以降入店,111.4701754385965,3683.4885964912282,3.1052631578947367,19,222357,高売上日
2025/10/24,16時前入店,81.75833333333333,2796.75,1.5,2,222357,高売上日
2025/10/25,16時以降入店,94.36133333333333,3054.347333333333,2.52,25,252250,高売上日
2025/10/25,16時前入店,84.9037037037037,2747.8796296296296,2.3333333333333335,9,252250,高売上日
