取引No,会計日,会計時間,合計,小計,内消費税,修正金額合計,修正後合計,修正後内消費税,現金,クレジットカード(Airペイ),交通系電子マネー(Airペイ),QUICPay(Airペイ),iD(Airペイ),QR決済(Airペイ QR),クレジットカード(オンライン決済),クレジットカード/電子マネー(Square),ポイント(Airペイ ポイント),ポイント(ホットペッパーグルメ),Pontaポイント(Airウォレット),金券合計,売掛合計,おつり,現金以外おつり不支払額,全体割引/割増(税込),個別割引/割増(税込),割引/割増合計(税込),人数,商品点数,滞在時間,伝票名,レジ担当者名,ID,カテゴリー名,メニュー名,価格,注文数量
RB0120260305222829000,2026/03/06,07:57:53,4840,4840,,,4840,,,,,,,,,,,,,,,,,,,,2,4,00:00:00,,,,,,,
RB0120260305222829000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,その他,tablecharge,500,2
RB0120260305222829000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ご飯もの,禁断パスタ,1800,1
RB0120260305222829000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ソフトドリンク,ウーロン茶,800,1
RB0120260305222829000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ソフトドリンク,グレープフルーツジュース,800,1
RB0120260305223410000,2026/03/06,08:17:04,6160,6160,,,6160,,,,,,,,,,,,,,,,,,,,2,4,00:00:00,,,,,,,
RB0120260305223410000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,その他,tablecharge,500,2
RB0120260305223410000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,アラカルト,フレンチフライ,1000,1
RB0120260305223410000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ジャパニーズカクテル,Japanese High Tea,1800,1
RB0120260305223410000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,オリジナルカクテル,Syndicate,1800,1
RB0120260305222920000,2026/03/06,08:27:25,10560,10560,,,10560,,,,,,,,,,,,,,,,,,,,2,6,00:00:00,,,,,,,
RB0120260305222920000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,スナック,生チョコレート,1000,1
RB0120260305222920000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,その他,tablecharge,500,2
RB0120260305222920000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,カクテル,クラシックカクテル,1600,1
RB0120260305222920000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,オリジナルカクテル,Cafe Oaxaca,1600,2
RB0120260305222920000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,スナック,バーニャカウダ,1000,1
RB0120260305222920000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ワイン（グラス）,"サングリア赤　1,800円",1800,1
000120260305233016341,2026/03/06,08:30:20,4510,4510,,,4510,,,,,,,,,,,,,,,,,,,,1,3,00:00:00,,,,,,,
000120260305233016341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,その他,tablecharge,500,1
000120260305233016341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ジャパニーズカクテル,Japanese High Tea,1800,1
000120260305233016341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,オリジナルカクテル,Syndicate,1800,1
000120260305233105810,2026/03/06,08:31:10,4400,4400,,,4400,,,,,,,,,,,,,,,,,,,,1,3,00:00:00,,,,,,,
000120260305233105810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,その他,tablecharge,500,1
000120260305233105810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ジャパニーズカクテル,Japanese High Tea,1800,1
000120260305233105810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,オリジナルカクテル,ゴールデンタイムフィズ,1700,1
RB0120260305205953000,2026/03/06,09:09:01,9300,9300,,,9300,,,,,,,,,,,,,,,,,,,,1,5,00:00:00,,,,,,,
RB0120260305205953000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,未設定,No charge,0,1
RB0120260305205953000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,スナック,生ハム盛り,1600,1
RB0120260305205953000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,カクテル,クラシックカクテル,1600,1
RB0120260305205953000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ウイスキー,グレングラント アルボラリス,1200,9
RB0120260305205953000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ウイスキー,クラシックラディ-,1500,1
RB0120260306204353000,2026/03/07,06:35:02,12650,12650,,,12650,,,,,,,,,,,,,,,,,,,,3,6,00:00:00,,,,,,,
RB0120260306204353000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,その他,tablecharge,500,3
RB0120260306204353000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ご飯もの,マルゲリータ,1800,1
RB0120260306204353000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ご飯もの,ラザニア,1600,1
