menu_name,sales,qty,accts,period
山葵と梨のスマッシュ,32200.0,14,12,Before同窓 (3/1-3/18)
招待日和コース(食事のみ)+チャージ別＋サ別,90000.0,9,3,Before同窓 (3/1-3/18)
本わさびジンソニック,18000.0,10,9,Before同窓 (3/1-3/18)
本日のデザート,10800.0,9,4,Before同窓 (3/1-3/18)
本日のパスタ,7400.0,4,1,Before同窓 (3/1-3/18)
柿の種,300.0,1,1,Before同窓 (3/1-3/18)
梅酒,7200.0,6,3,Before同窓 (3/1-3/18)
焙じ茶ジンソーダ,9800.0,7,6,Before同窓 (3/1-3/18)
牡蠣のレモンマリネ,3000.0,3,3,Before同窓 (3/1-3/18)
生チョコレート,8000.0,8,8,Before同窓 (3/1-3/18)
生ハム盛り,4800.0,3,3,Before同窓 (3/1-3/18)
白州,9000.0,5,3,Before同窓 (3/1-3/18)
白州 12年,3300.0,1,1,Before同窓 (3/1-3/18)
知多,3400.0,2,2,Before同窓 (3/1-3/18)
禁断パスタ,9000.0,5,4,Before同窓 (3/1-3/18)
竹鶴,1700.0,1,1,Before同窓 (3/1-3/18)
紅茶,1000.0,1,1,Before同窓 (3/1-3/18)
鴨のスモーク,4000.0,5,5,Before同窓 (3/1-3/18)
鶏もものソテー,6400.0,4,3,Before同窓 (3/1-3/18)
黒板メニュー　パスタ,7200.0,4,3,Before同窓 (3/1-3/18)
黒板メニュー　肉料理,11400.0,5,4,Before同窓 (3/1-3/18)
6500円飲み放題付（2時間制）,149500.0,23,5,Before月 (3/1-3/31)
Arrow Head,36000.0,18,18,Before月 (3/1-3/31)
BFAグレングラッサ8年,2800.0,1,1,Before月 (3/1-3/31)
BFAジェームズベイ,4000.0,2,2,Before月 (3/1-3/31)
Cafe Oaxaca,24000.0,15,11,Before月 (3/1-3/31)
Espresso Martini,12600.0,7,7,Before月 (3/1-3/31)
Hojicha Negroni,44200.0,26,24,Before月 (3/1-3/31)
Japanese High Tea,52200.0,29,25,Before月 (3/1-3/31)
MIXローストナッツ,11200.0,14,12,Before月 (3/1-3/31)
Niu Japonica,6400.0,4,3,Before月 (3/1-3/31)
No charge,0.0,59,34,Before月 (3/1-3/31)
Syndicate,16200.0,9,8,Before月 (3/1-3/31)
Tommy's Verde Margarita,25200.0,14,8,Before月 (3/1-3/31)
WCIアードモア12年,44000.0,20,3,Before月 (3/1-3/31)
tablecharge,180500.0,361,140,Before月 (3/1-3/31)
【AL】ピニャコラーダ,2000.0,1,1,Before月 (3/1-3/31)
いぶりがっこ,2400.0,8,7,Before月 (3/1-3/31)
その他CLPコース,428000.0,79,13,Before月 (3/1-3/31)
アベラワー 12年,4800.0,3,3,Before月 (3/1-3/31)
アラン アマローネカスク,4800.0,3,2,Before月 (3/1-3/31)
アードベック 10年,17600.0,11,7,Before月 (3/1-3/31)
イベント費用,42500.0,2,2,Before月 (3/1-3/31)
イーガンズ,1400.0,1,1,Before月 (3/1-3/31)
ウイスキー,8000.0,4,2,Before月 (3/1-3/31)
ウッドフォードリザーブ,6000.0,4,1,Before月 (3/1-3/31)
ウルフクレイグ　14年,8400.0,3,1,Before月 (3/1-3/31)
ウーロン茶,10400.0,13,11,Before月 (3/1-3/31)
エンジン,1600.0,1,1,Before月 (3/1-3/31)
オクトモア14.1,2800.0,1,1,Before月 (3/1-3/31)
オレンジジュース,4000.0,5,4,Before月 (3/1-3/31)
オーヘントッシャン 12年,1300.0,1,1,Before月 (3/1-3/31)
カリラ12年,6400.0,4,3,Before月 (3/1-3/31)
カルパッチョ,11900.0,7,4,Before月 (3/1-3/31)
ガージェリー,107900.0,83,33,Before月 (3/1-3/31)
ガーリックブロッコリー,4800.0,6,6,Before月 (3/1-3/31)
クラシックカクテル,102100.0,63,32,Before月 (3/1-3/31)
クラシックラディ-,1500.0,1,1,Before月 (3/1-3/31)
グレンアラヒー8年,9600.0,6,4,Before月 (3/1-3/31)
グレングラント アルボラリス,15600.0,13,4,Before月 (3/1-3/31)
グレンファークラス 12年,1800.0,1,1,Before月 (3/1-3/31)
グレンモーレンジィ フォレスト,2000.0,1,1,Before月 (3/1-3/31)
グレンリベット15年,1800.0,1,1,Before月 (3/1-3/31)
グレンリベット18年,2600.0,1,1,Before月 (3/1-3/31)
グレープフルーツジュース,2400.0,3,3,Before月 (3/1-3/31)
コーラ,2400.0,3,2,Before月 (3/1-3/31)
ゴールデンタイムフィズ,40800.0,24,17,Before月 (3/1-3/31)
"サングリア白　1,800円",5400.0,3,3,Before月 (3/1-3/31)
"サングリア赤　1,800円",28800.0,16,14,Before月 (3/1-3/31)
