予約受付日,ステータス,予約経路,AIR店舗ID,店舗コード,店舗名,来店日,開始時間,終了時間,コース名,コース金額,利用ポイント,人数,ネット予約フラグ,テーブル,予約依頼番号,発行ポイント,要望,メモ,キーワード,スマート支払い利用有無,決済確定金額
20260320 13:04:07,退店,直接来店,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260320,1300,1430,,,,3,,A5,,,,,,,
20260320 17:38:52,退店,直接来店,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260320,1735,1920,,,,2,,A1,,,,,,,
20260320 17:39:28,貴店キャンセル,,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260321,1900,2030,,,,2,,D個室1,,,,,,,
20260320 17:55:40,退店,直接来店,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260320,1755,1925,,,,2,,B3,,,,,,,
20260320 18:04:14,退店,ホットペッパー グルメ,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260320,1830,2000,お席のみのご予約,,,2,HPG即,B3,SDE372297,100,,,,,
20260320 18:17:27,退店,直接来店,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260320,1815,1945,,,,3,,B4,,,,,,,
20260320 18:23:43,退店,直接来店,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260320,1820,1950,,,,3,,B1,,,,,,,
20260320 18:30:21,貴店キャンセル,,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260320,1935,2105,,,,2,,D個室1,,,,,,,
20260320 18:34:47,退店,直接来店,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260320,1830,2000,,,,2,,B2,,,,,,,
20260320 18:35:46,退店,直接来店,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260320,1835,2005,,,,3,,D個室1,,,,,,,
20260320 18:41:34,退店,席押さえ,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260320,1855,2025,お席のみのご予約,,3000,2,席押さえ即,A3,SDE380052,100,,,,,
20260320 18:47:41,退店,,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260320,1955,2125,,,,3,,A1,,,,,,,
20260320 18:49:36,退店,直接来店,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260320,1900,2030,,,,1,,A4,,,,,,,
20260320 19:32:04,退店,直接来店,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260320,1930,2100,,,,2,,B1,,,,,,,
20260320 19:53:22,退店,直接来店,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260320,1950,2120,,,,2,,B3,,,,,,,
20260320 22:28:59,退店,ホットペッパー グルメ,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260321,1800,1915,お席のみのご予約,,,2,HPG即,B2,SDE415546,100,,,,,
20260320 23:08:44,退店,ホットペッパー グルメ,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260321,1730,1910,お席のみのご予約,,,3,HPG即,A5,SDE420172,150,,,,,
20260321 00:13:01,退店,,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260321,1700,1840,,,,3,,A1,,,,,,,
20260321 00:14:14,貴店キャンセル,,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260321,1745,1915,,,,2,,A4,,,,,,,
20260321 07:28:40,退店,ホットペッパー グルメ,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260321,1930,2100,お席のみのご予約,,,2,HPG即,A1,SDE432038,100,,,,,
20260321 11:06:57,退店,ホットペッパー グルメ,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260322,1200,1330,お席のみのご予約,,,3,HPG即,A3,SDE446866,30,,,,,
20260321 11:39:40,退店,直接来店,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260321,1135,1305,,,,2,,A1,,,,,,,
20260321 11:57:09,退店,直接来店,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260321,1155,1325,,,,5,,"B1, B2",,,,,,,
20260321 12:15:25,退店,直接来店,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260321,1220,1350,,,,2,,A5,,,,,,,
20260321 12:38:10,退店,直接来店,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260321,1235,1405,,,,2,,B3,,,,,,,
20260321 12:53:55,退店,,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260321,1405,1535,,,,2,,A5,,,,ただ,,,
20260321 13:48:17,キャンセル,直接来店,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260321,1345,1515,,,,2,,A5,,,,,,,
20260321 13:49:59,退店,直接来店,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260321,1355,1525,,,,2,,A1,,,,,,,
20260321 14:10:08,退店,直接来店,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260321,1410,1540,,,,2,,A3,,,,,,,
20260321 14:23:44,退店,席押さえ,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260321,1435,1605,お席のみのご予約,,3000,3,席押さえ即,B4,SDE471911,30,,,,,
20260321 14:56:21,キャンセル,直接来店,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260321,1455,1625,,,,2,,B3,,,,,,,
20260321 15:19:12,退店,直接来店,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260321,1525,1655,,,,2,,A5,,,,,,,
20260321 16:07:54,貴店キャンセル,,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260321,2005,2135,,,,7,,"B3, B4",,,,,,,
20260321 16:40:02,退店,直接来店,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260321,1640,1810,,,,2,,A3,,,,,,,
20260321 16:47:21,退店,席押さえ,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260321,1700,1830,お席のみのご予約,,3000,2,席押さえ即,B3,SDE491146,100,,,,,
20260321 16:51:13,退店,,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260321,1945,2115,,,,6,,"B1, B2",,,,,,,
20260321 17:02:31,退店,直接来店,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260321,1700,1830,,,,2,,B4,,,,,,,
20260321 17:54:03,退店,,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260321,1905,2035,,,,2,,A4,,,,,,,
20260321 18:18:10,退店,,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260325,1130,1300,,,,2,,A3,,,,萌,,,
20260321 19:08:22,退店,,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260321,1945,2115,,,,2,,A5,,,,,,,
20260321 21:03:26,退店,ホットペッパー グルメ,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260322,1130,1300,お席のみのご予約,,100,2,HPG即,A5,SDE546801,20,,,,,
20260321 21:15:08,退店,ホットペッパー グルメ,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260322,1230,1400,お席のみのご予約,,,2,HPG即,A1,SDE550617,20,,,,,
20260321 21:52:27,退店,,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260324,1900,2030,,,,2,,A1,,,,萌,,,
20260322 01:43:16,退店,ホットペッパー グルメ,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260322,1810,1940,お席のみのご予約,,,2,HPG即,B3,SDE566197,100,,,,,
20260322 10:44:39,退店,ホットペッパー グルメ,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260322,1730,1915,お席のみのご予約,,,2,HPG即,A5,SDE580502,100,,,,,
20260322 11:59:11,退店,直接来店,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260322,1155,1325,,,,2,,B4,,,,,,,
20260322 12:11:09,退店,直接来店,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260322,1210,1340,,,,2,,B3,,,,,,,
20260322 12:19:13,退店,直接来店,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260322,1215,1345,,,,2,,B2,,,,,,,
20260322 12:35:45,退店,直接来店,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260322,1235,1405,,,,3,,B1,,,,,,,
20260322 12:42:27,退店,直接来店,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260322,1240,1410,,,,1,,A4,,,,,,,
20260322 12:47:57,退店,席押さえ,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260322,1300,1430,お席のみのご予約,,2000,3,席押さえ即,A5,SDE597311,30,,,,,
20260322 12:54:41,貴店キャンセル,,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260322,1425,1555,,,,2,,A3,,,,,,,
20260322 12:58:13,退店,直接来店,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260322,1255,1425,,,,4,,D個室1,,,,,,,
20260322 13:22:00,退店,直接来店,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260322,1320,1450,,,,4,,A1,,,,,,,
20260322 13:40:30,退店,直接来店,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260322,1340,1510,,,,2,,A3,,,,,,,
20260322 14:02:18,退店,直接来店,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260322,1400,1530,,,,2,,A5,,,,,,,
20260322 14:44:15,退店,ホットペッパー グルメ,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260322,1900,2030,お席のみのご予約,,,2,HPG即,B2,SDE611007,100,,,,,
20260322 15:17:42,退店,直接来店,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260322,1535,1705,,,,2,,A5,,,,,,,
20260322 15:33:25,退店,ホットペッパー グルメ,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260322,1700,1830,お席のみのご予約,,,3,HPG即,A3,SDE615214,150,,,,,
20260322 15:56:58,退店,直接来店,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260322,1555,1725,,,,2,,B3,,,,,,,
20260322 16:02:37,貴店キャンセル,,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260322,1805,1935,,,,2,,D個室1,,,,,,,
20260322 16:04:24,退店,直接来店,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260322,1610,1740,,,,2,,A1,,,,,,,
20260322 16:50:28,退店,ホットペッパー グルメ,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260328,1200,1330,お席のみのご予約,,,2,HPG即,A5,SDE629669,20,,,,,
20260322 16:59:22,退店,直接来店,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260322,1655,1825,,,,2,,B1,,,,,,,
20260322 17:41:32,退店,,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260322,1800,1930,,,,4,,D個室1,,,,,,,
20260322 17:59:49,退店,直接来店,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260322,1755,1925,,,,2,,A1,,,,,,,
