商品カテゴリ①,商品カテゴリ②,商品名,商品ID,商品単価,累計売上個数,累計売上,2024-11売上個数,2024-12売上個数,2025-01売上個数,2025-02売上個数,2025-03売上個数,2025-04売上個数,2025-05売上個数,2025-06売上個数,2025-07売上個数,2025-08売上個数,2025-09売上個数,2025-10売上個数,2024-11売上高,2024-12売上高,2025-01売上高,2025-02売上高,2025-03売上高,2025-04売上高,2025-05売上高,2025-06売上高,2025-07売上高,2025-08売上高,2025-09売上高,2025-10売上高
ドリンク,ソフトドリンク,ジャスミン茶,00000000165,350,178,62300,2,5,12,6,19,14,27,19,28,20,14,12,700,1750,4200,2100,6650,4900,9450,6650,9800,7000,4900,4200
ドリンク,ハイボール,響ハイボール,00000000108,1080,55,59400,0,3,2,10,8,3,1,8,11,2,6,1,0,3240,2160,10800,8640,3240,1080,8640,11880,2160,6480,1080
フード,サラダ,サーモンといくらの冷パスタ,00000000445,1580,41,57780,0,0,0,0,0,0,8,7,9,6,7,4,0,0,0,0,0,0,12640,11060,14220,9480,6860,3520
フード,おつまみ,お通し,00000000234,350,165,57750,106,59,0,0,0,0,0,0,0,0,0,0,37100,20650,0,0,0,0,0,0,0,0,0,0
ドリンク,ソフトドリンク,黒烏龍茶ホット,00000000162,350,160,56000,1,12,5,26,12,14,9,10,24,21,13,13,350,4200,1750,9100,4200,4900,3150,3500,8400,7350,4550,4550
コース,コース,ちゃんこ鍋一人前,00000000248,1180,47,55460,0,11,14,9,13,0,0,0,0,0,0,0,0,12980,16520,10620,15340,0,0,0,0,0,0,0
ドリンク,カクテル,カシスオレンジ,00000000133,480,112,53760,4,2,2,7,11,12,7,14,21,16,13,3,1920,960,960,3360,5280,5760,3360,6720,10080,7680,6240,1440
フード,サラダ,ニラとアサリ豆板醤炒め,00000000461,1100,49,53280,0,0,0,0,0,0,0,0,4,12,15,18,0,0,0,0,0,0,0,0,4400,13200,16240,19440
ドリンク,マッコリ,ソウルマッコリ,00000000157,420,126,52920,0,4,1,17,6,7,21,8,21,13,26,2,0,1680,420,7140,2520,2940,8820,3360,8820,5460,10920,840
フード,刺身,サーモン,00000000075,680,77,52360,0,3,1,1,7,7,12,12,9,9,12,4,0,2040,680,680,4760,4760,8160,8160,6120,6120,8160,2720
ドリンク,日本酒,一ノ蔵,00000000125,780,67,52260,0,2,1,20,4,4,14,8,2,7,3,2,0,1560,780,15600,3120,3120,10920,6240,1560,5460,2340,1560
フード,揚げ物,ちくわ磯部揚げ,00000000198,580,87,50460,1,10,11,7,16,10,7,2,8,7,5,3,580,5800,6380,4060,9280,5800,4060,1160,4640,4060,2900,1740
フード,刺身,マグロ,00000000185,680,74,50320,0,3,1,3,3,8,9,17,12,7,8,3,0,2040,680,2040,2040,5440,6120,11560,8160,4760,5440,2040
ドリンク,焼酎ボトル,黒霧島ボトル,00000000152,3580,14,50120,0,1,2,2,1,2,1,1,2,1,1,0,0,3580,7160,7160,3580,7160,3580,3580,7160,3580,3580,0
