取引No,会計日,会計時間,合計,小計,内消費税,修正金額合計,修正後合計,修正後内消費税,現金,クレジットカード(Airペイ),交通系電子マネー(Airペイ),QUICPay(Airペイ),iD(Airペイ),QR決済(Airペイ QR),クレジットカード(オンライン決済),クレジットカード/電子マネー(Square),ポイント(Airペイ ポイント),ポイント(ホットペッパーグルメ),Pontaポイント(Airウォレット),金券合計,売掛合計,おつり,現金以外おつり不支払額,全体割引/割増(税込),個別割引/割増(税込),割引/割増合計(税込),人数,商品点数,滞在時間,伝票名,レジ担当者名,ID,カテゴリー名,メニュー名,価格,注文数量
RB0120260406183646000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,289EC026C9BD4B029D5C693716CD4454,"DESSERT COCKTAIL","ティラミスロブロイ",1500,1
RB0120260406183646000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,289EC026C9BD4B029D5C693716CD4454,"DESSERT COCKTAIL","キャラメルナッツキャデラック",1500,1
RB0120260406183646000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,289EC026C9BD4B029D5C693716CD4454,"BAR SNACKS ","オリーブ",700,1
RB0120260406195545000,2026/04/06,22:06:58,23210,21100,2110,0,23210,2110,0,23210,0,0,0,0,0,0,0,0,0,0,0,0,0,2110,0,2110,4,18,02:11:13,"E","大泉",791EFCA3CDFE4CFBA0FE12738A25E086,"その他","tablecharge",600,4
RB0120260406195545000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,791EFCA3CDFE4CFBA0FE12738A25E086,"ビール","ガージェリー",1300,4
RB0120260406195545000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,791EFCA3CDFE4CFBA0FE12738A25E086,"ソフトドリンク","コーヒー",1000,1
RB0120260406195545000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,791EFCA3CDFE4CFBA0FE12738A25E086,"JAPANESE COCKTAIL","シルキー麹サワー",1900,1
RB0120260406195545000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,791EFCA3CDFE4CFBA0FE12738A25E086,"JAPANESE COCKTAIL","桜ブロッサム",1900,1
RB0120260406195545000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,791EFCA3CDFE4CFBA0FE12738A25E086,"BAR SNACKS ","オリーブ",700,1
RB0120260406195545000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,791EFCA3CDFE4CFBA0FE12738A25E086,"BAR SNACKS ","キャンディピーカン",700,1
RB0120260406195545000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,791EFCA3CDFE4CFBA0FE12738A25E086,"COLD APPETIZERS","ケールとベリーのサラダ",1300,1
RB0120260406195545000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,791EFCA3CDFE4CFBA0FE12738A25E086,"COLD APPETIZERS","マッシュルームサラダとコールドカット",1300,1
RB0120260406195545000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,791EFCA3CDFE4CFBA0FE12738A25E086,"COLD APPETIZERS","牛肉と季節のフルーツのカルパッチョ",1500,1
RB0120260406195545000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,791EFCA3CDFE4CFBA0FE12738A25E086,"HOT APPETIZERS","マティポテ",1300,1
RB0120260406195545000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,791EFCA3CDFE4CFBA0FE12738A25E086,"MAIN DISHES","ミントのジェノベーゼ",1900,1
RB0120260406214256000,2026/04/06,22:44:09,7100,7100,645,0,7100,645,0,7100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,01:01:13,"5","大泉",085A167C65424C78BFAA086791B6F9DE,"その他","tablecharge",600,1
RB0120260406214256000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,085A167C65424C78BFAA086791B6F9DE,"ワイン","テバルド・ビアンコ",6500,1
RB0120260407180331000,2026/04/07,18:38:59,5000,5000,454,0,5000,454,0,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,00:35:28,"A","大泉",9A595B2CC3A7427B96B34898BD4F8AC7,"その他","tablecharge",600,2
RB0120260407180331000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9A595B2CC3A7427B96B34898BD4F8AC7,"JAPANESE COCKTAIL","焙煎ファッションド",1900,1
RB0120260407180331000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9A595B2CC3A7427B96B34898BD4F8AC7,"JAPANESE COCKTAIL","桜ブロッサム",1900,1
RB0120260407182637000,2026/04/07,19:37:06,3400,3400,309,0,3400,309,0,3400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,01:10:29,"4","大泉",6EDD432742474502A373E3C3E66596F7,"その他","tablecharge",600,1
RB0120260407182637000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6EDD432742474502A373E3C3E66596F7,"NEW CLASSIC COCKTAIL","森のジントニック",1500,1
RB0120260407182637000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6EDD432742474502A373E3C3E66596F7,"HOT APPETIZERS","にんじんのソテー",1300,1
RB0120260407204503000,2026/04/07,20:46:26,5700,5700,518,0,5700,518,0,5700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,00:01:22,"C","大泉",0E9A2185055C48639C3E2E4B45BD79C5,"その他","tablecharge",600,2
RB0120260407204503000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0E9A2185055C48639C3E2E4B45BD79C5,"JAPANESE COCKTAIL","焙煎ファッションド",1900,1
RB0120260407204503000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0E9A2185055C48639C3E2E4B45BD79C5,"JAPANESE COCKTAIL","シルキー麹サワー",1900,1
RB0120260407204503000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0E9A2185055C48639C3E2E4B45BD79C5,"BAR SNACKS ","キャンディピーカン",700,1
RB0120260407204424000,2026/04/08,00:14:57,11300,11300,1027,0,11300,1027,0,11300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11,03:30:33,"D","大泉",8F666721D9EF4FB49904487CA85BC439,"その他","tablecharge",600,2
RB0120260407204424000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8F666721D9EF4FB49904487CA85BC439,"ソフトドリンク","ジンジャーエール",800,1
RB0120260407204424000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8F666721D9EF4FB49904487CA85BC439,"ソフトドリンク","コーヒー",1000,2
RB0120260407204424000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8F666721D9EF4FB49904487CA85BC439,"DESSERT COCKTAIL","ソイ抹茶アレキサンダー",1500,1
RB0120260407204424000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8F666721D9EF4FB49904487CA85BC439,"BAR SNACKS ","BAR 専用チョコレート",600,1
