予約受付日,ステータス,予約経路,AIR店舗ID,店舗コード,店舗名,来店日,開始時間,終了時間,コース名,コース金額,利用ポイント,人数,ネット予約フラグ,テーブル,予約依頼番号,発行ポイント,要望,メモ,キーワード,スマート支払い利用有無,決済確定金額
20250909 21:12:53,退店,ホットペッパー グルメ,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20250913,1900,2030,お席のみのご予約,,,2,HPG即,A4,SCT942853,100,,,,,
20250910 12:06:29,退店,直接来店,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20250910,1210,1340,,,,5,,"A3, A4",,,,,,,
20250910 17:10:22,退店,直接来店,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20250910,1710,1840,,,,2,,A5,,,,,,,
20250910 18:00:10,退店,,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20250910,1835,2005,,,,5,,"A3, A4",,,,,,,
20250910 18:14:59,退店,直接来店,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20250910,1810,1940,,,,2,,A1,,,,,,,
20250910 18:29:42,退店,直接来店,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20250910,1825,1955,,,,2,,B4,,,,,,,
20250910 18:36:17,退店,ネット予約（食べログ）,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20250910,1900,2030,,,,2,,A5,,,,"コース          ：お席のみのご予約
ご要望          ：
",,,
20250910 18:36:32,キャンセル,直接来店,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20250910,1835,2005,,,,2,,A5,,,,,,,
20250910 18:37:50,退店,直接来店,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20250910,1835,2005,,,,2,,B3,,,,,,,
20250910 19:00:06,退店,,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20250910,1915,2045,,,,2,,B1,,,,,,,
20250910 19:00:21,貴店キャンセル,,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20250910,2005,2135,,,,5,,D個室1,,,,,,,
20250910 19:05:51,退店,直接来店,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20250910,1905,2035,,,,2,,B2,,,,,,,
20250910 19:13:31,退店,直接来店,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20250910,1910,2040,,,,3,,A1,,,,,,,
20250910 19:54:11,退店,ホームページ予約ツール,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20250928,1230,1400,お席のみのご予約,,,4,HPDS即,B4,SCU033266,,,,,,
20250910 20:40:03,退店,直接来店,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20250910,2040,2210,,,,3,,B3,,,,,,,
20250910 20:44:02,退店,直接来店,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20250910,2040,2210,,,,2,,B2,,,,,,,
20250911 09:34:28,退店,ホームページ予約ツール,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20250913,1700,1830,お席のみのご予約,,,4,HPDS即,A3,SCU073751,,,,,,
20250911 12:14:01,退店,直接来店,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20250911,1215,1345,,,,2,,A5,,,,,,,
20250911 12:22:21,退店,直接来店,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20250911,1225,1355,,,,2,,A3,,,,,,,
20250911 13:23:33,退店,ホットペッパー グルメ,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20250913,1800,2000,お席のみのご予約,,,4,HPG即,D個室1,SCU089893,200,,,,,
20250911 16:01:25,退店,ホームページ予約ツール,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20250912,1300,1430,お席のみのご予約,,,3,HPDS即,A5,SCU103295,,,,,,
20250911 17:46:47,退店,,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20250911,1925,2055,,,,3,,B4,,,,,,,
20250911 18:55:09,退店,ホットペッパー グルメ,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20250921,2000,2130,お席のみのご予約,,,3,HPG即,A5,SCU126800,150,,,,,
20250911 19:54:41,退店,直接来店,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20250911,1950,2120,,,,7,,"B1, B2, B3",,,,,,,
