店舗ID,営業日,会計日時,オーダー日時,会計ID,分類ID,分類名称,メニューID,メニュー名称,主副区別,売価(税込),売価(税抜),原価(税込),原価(税抜),販売数,販売金額(税込),値割引金額,親メニューID,親メニュー名,消費税率区分,ユーザーID
7fe37e09-6e00-4127-93e8-673498198392,2026/02/20,2026/02/20 21:19:57,2026/02/20 19:33:30,72750186,331858,3H　鮪ほほステーキ 5480,2879320,★河豚（フグ）の唐揚げ,0,0,0,0,0,2,0,,,,10,
7fe37e09-6e00-4127-93e8-673498198392,2026/02/20,2026/02/20 21:19:57,2026/02/20 19:33:30,72750186,331858,3H　鮪ほほステーキ 5480,2879317,★北あかりと帆立バター焼き,0,0,0,0,0,2,0,,,,10,
7fe37e09-6e00-4127-93e8-673498198392,2026/02/20,2026/02/20 21:19:57,2026/02/20 19:33:30,72750186,331858,3H　鮪ほほステーキ 5480,2879313,★黒豚冷しゃぶサラダ,0,0,0,0,0,2,0,,,,10,
7fe37e09-6e00-4127-93e8-673498198392,2026/02/20,2026/02/20 21:19:57,2026/02/20 19:33:30,72750186,331858,3H　鮪ほほステーキ 5480,2879647,★鮮魚三種盛り,0,0,0,0,0,2,0,,,,10,
7fe37e09-6e00-4127-93e8-673498198392,2026/02/20,2026/02/20 22:07:02,2026/02/20 19:28:31,72766552,309679,飲放　ジン・ハイボール,2665599,★飲放★　角ハイボール,0,0,0,45,42,1,0,,,,10,line:U976ae7c9fff6053e10e47b7f5f7d8fa5
7fe37e09-6e00-4127-93e8-673498198392,2026/02/20,2026/02/20 22:07:02,2026/02/20 19:26:03,72766552,309679,飲放　ジン・ハイボール,2665599,★飲放★　角ハイボール,0,0,0,45,42,1,0,,,,10,line:U976ae7c9fff6053e10e47b7f5f7d8fa5
7fe37e09-6e00-4127-93e8-673498198392,2026/02/20,2026/02/20 20:53:40,2026/02/20 19:25:25,72739946,330876,刺身,2870702,蛸,0,1280,1164,0,0,1,1280,,,,10,line:Uc6d3ad5db76ff55a40c7c600789263dd
7fe37e09-6e00-4127-93e8-673498198392,2026/02/20,2026/02/20 20:53:40,2026/02/20 19:25:12,72739946,302247,ビール・ノンアルコール,2631905,アサヒスーパードライ（生ビール）,0,750,682,210,195,2,1500,,,,10,line:Uc6d3ad5db76ff55a40c7c600789263dd
7fe37e09-6e00-4127-93e8-673498198392,2026/02/20,2026/02/20 20:37:06,2026/02/20 19:23:58,72733672,309679,飲放　ジン・ハイボール,2665605,★飲放★　フロンティアハイボール,0,0,0,90,84,1,0,,,,10,
7fe37e09-6e00-4127-93e8-673498198392,2026/02/20,2026/02/20 21:08:28,2026/02/20 19:23:29,72745992,330874,別天地一推し,2590315,和牛ユッケねぎまみれ,0,2380,2164,860,797,1,2380,,,,10,line:U677d7ea888f8485069b943dd72e62fa8
7fe37e09-6e00-4127-93e8-673498198392,2026/02/20,2026/02/20 21:08:28,2026/02/20 19:23:29,72745992,330874,別天地一推し,2870721,海鮮玉手箱（二人前）,0,2760,2510,0,0,1,2760,,,,10,line:U677d7ea888f8485069b943dd72e62fa8
7fe37e09-6e00-4127-93e8-673498198392,2026/02/20,2026/02/20 21:08:28,2026/02/20 19:23:29,72745992,330875,酒の肴,2870459,酒の肴三種盛り,0,1780,1619,0,0,1,1780,,,,10,line:U677d7ea888f8485069b943dd72e62fa8
7fe37e09-6e00-4127-93e8-673498198392,2026/02/20,2026/02/20 21:08:28,2026/02/20 19:23:29,72745992,330877,野菜,2870818,和牛ポテサラ,0,980,891,0,0,1,980,,,,10,line:U677d7ea888f8485069b943dd72e62fa8
7fe37e09-6e00-4127-93e8-673498198392,2026/02/20,2026/02/20 21:08:28,2026/02/20 19:21:33,72745992,302247,ビール・ノンアルコール,2631905,アサヒスーパードライ（生ビール）,0,750,682,210,195,2,1500,,,,10,
7fe37e09-6e00-4127-93e8-673498198392,2026/02/20,2026/02/20 22:07:02,2026/02/20 19:18:18,72766552,331944,飲放　ソフドリ,2665268,★飲放★　とうもろこしひげ茶,0,0,0,41,38,1,0,,,,10,line:U976ae7c9fff6053e10e47b7f5f7d8fa5
7fe37e09-6e00-4127-93e8-673498198392,2026/02/20,2026/02/20 22:07:02,2026/02/20 19:18:18,72766552,331944,飲放　ソフドリ,774610,ICE,1,0,0,0,0,1,0,,2665268,★飲放★　とうもろこしひげ茶,10,line:U976ae7c9fff6053e10e47b7f5f7d8fa5
7fe37e09-6e00-4127-93e8-673498198392,2026/02/20,2026/02/20 22:07:02,2026/02/20 19:18:18,72766552,309679,飲放　ジン・ハイボール,2665748,★飲放★　ゆず胡椒ハイボール,0,0,0,119,111,1,0,,,,10,line:U976ae7c9fff6053e10e47b7f5f7d8fa5
7fe37e09-6e00-4127-93e8-673498198392,2026/02/20,2026/02/20 20:30:56,2026/02/20 19:17:57,72731354,309679,飲放　ジン・ハイボール,2665599,★飲放★　角ハイボール,0,0,0,45,42,1,0,,,,10,
7fe37e09-6e00-4127-93e8-673498198392,2026/02/20,2026/02/20 20:56:42,2026/02/20 19:17:41,72741179,302238,温菜・揚げ物,2870072,溢れ和風ポテト,0,700,637,0,0,1,700,,,,10,line:Ua3a441ef45330a1f947042cece0669ff
7fe37e09-6e00-4127-93e8-673498198392,2026/02/20,2026/02/20 20:56:42,2026/02/20 19:17:03,72741179,330875,酒の肴,2870459,酒の肴三種盛り,0,1780,1619,0,0,1,1780,,,,10,line:Ua3a441ef45330a1f947042cece0669ff
7fe37e09-6e00-4127-93e8-673498198392,2026/02/20,2026/02/20 20:56:42,2026/02/20 19:14:15,72741179,302248,ウィスキー・ジン・リキュール,2636356,角,0,750,682,45,42,1,750,,,,10,
7fe37e09-6e00-4127-93e8-673498198392,2026/02/20,2026/02/20 20:56:42,2026/02/20 19:14:15,72741179,302248,ウィスキー・ジン・リキュール,766509,ソーダ,1,0,0,0,0,1,0,,2636356,角,10,
7fe37e09-6e00-4127-93e8-673498198392,2026/02/20,2026/02/20 20:56:42,2026/02/20 19:14:15,72741179,302247,ビール・ノンアルコール,2631905,アサヒスーパードライ（生ビール）,0,750,682,210,195,1,750,,,,10,
7fe37e09-6e00-4127-93e8-673498198392,2026/02/20,2026/02/20 20:56:42,2026/02/20 19:14:15,72741179,302247,ビール・ノンアルコール,2590339,赤星（サッポロラガー） 中瓶,0,1150,1046,285,264,1,1150,,,,10,
7fe37e09-6e00-4127-93e8-673498198392,2026/02/20,2026/02/20 20:37:06,2026/02/20 19:12:28,72733672,309679,飲放　ジン・ハイボール,2665605,★飲放★　フロンティアハイボール,0,0,0,90,84,2,0,,,,10,
7fe37e09-6e00-4127-93e8-673498198392,2026/02/20,2026/02/20 19:38:31,2026/02/20 19:03:44,72714856,316799,飲放　焼酎・日本酒,2871480,★放題★【麦】ふんわり涼やか特蒸泰明　大分県　19度,0,0,0,138,128,2,0,,,,10,
7fe37e09-6e00-4127-93e8-673498198392,2026/02/20,2026/02/20 19:38:31,2026/02/20 19:03:44,72714856,316799,飲放　焼酎・日本酒,766512,ソーダ,1,0,0,0,0,2,0,,2871480,★放題★【麦】ふんわり涼やか特蒸泰明　大分県　19度,10,
7fe37e09-6e00-4127-93e8-673498198392,2026/02/20,2026/02/20 22:07:02,2026/02/20 19:03:32,72766552,331857,3H　黒毛すき焼き 6480,2879893,★黒毛和牛すき焼き,0,0,0,0,0,4,0,,,,10,
7fe37e09-6e00-4127-93e8-673498198392,2026/02/20,2026/02/20 22:07:02,2026/02/20 19:03:32,72766552,331857,3H　黒毛すき焼き 6480,2879896,★〆のうどん,0,0,0,0,0,4,0,,,,10,
7fe37e09-6e00-4127-93e8-673498198392,2026/02/20,2026/02/20 22:07:02,2026/02/20 19:03:32,72766552,331855,2H　黒毛すき焼き 6480,2892778,2H　黒毛すき焼き 6480,0,0,0,0,0,4,0,,,,10,
7fe37e09-6e00-4127-93e8-673498198392,2026/02/20,2026/02/20 22:07:02,2026/02/20 19:03:32,72766552,331858,3H　鮪ほほステーキ 5480,2879311,★和牛と雲丹の贅沢最中,0,0,0,0,0,4,0,,,,10,
7fe37e09-6e00-4127-93e8-673498198392,2026/02/20,2026/02/20 22:07:02,2026/02/20 19:03:32,72766552,331858,3H　鮪ほほステーキ 5480,2879317,★北あかりと帆立バター焼き,0,0,0,0,0,4,0,,,,10,
7fe37e09-6e00-4127-93e8-673498198392,2026/02/20,2026/02/20 22:07:02,2026/02/20 19:03:32,72766552,331858,3H　鮪ほほステーキ 5480,2879647,★鮮魚三種盛り,0,0,0,0,0,4,0,,,,10,
7fe37e09-6e00-4127-93e8-673498198392,2026/02/20,2026/02/20 22:07:02,2026/02/20 19:03:32,72766552,330949,2H　黒毛ステーキ 7980,2871351,★アボカドと桜海老の昆布和え,0,0,0,0,0,4,0,,,,10,
7fe37e09-6e00-4127-93e8-673498198392,2026/02/20,2026/02/20 22:07:02,2026/02/20 19:03:32,72766552,331858,3H　鮪ほほステーキ 5480,2879329,★蛤大根（はまぐりだいこん）,0,0,0,0,0,4,0,,,,10,
7fe37e09-6e00-4127-93e8-673498198392,2026/02/20,2026/02/20 22:07:02,2026/02/20 19:03:32,72766552,331858,3H　鮪ほほステーキ 5480,2879313,★黒豚冷しゃぶサラダ,0,0,0,0,0,4,0,,,,10,
7fe37e09-6e00-4127-93e8-673498198392,2026/02/20,2026/02/20 22:07:02,2026/02/20 19:03:32,72766552,331858,3H　鮪ほほステーキ 5480,2879320,★河豚（フグ）の唐揚げ,0,0,0,0,0,4,0,,,,10,
7fe37e09-6e00-4127-93e8-673498198392,2026/02/20,2026/02/20 20:30:56,2026/02/20 19:03:32,72731354,309679,飲放　ジン・ハイボール,2665599,★飲放★　角ハイボール,0,0,0,45,42,1,0,,,,10,
7fe37e09-6e00-4127-93e8-673498198392,2026/02/20,2026/02/20 20:30:56,2026/02/20 18:59:58,72731354,331942,飲放　果実酒,2665480,★飲放★　うぐいすとまり 鶯とろ,0,0,0,165,153,1,0,,,,10,
7fe37e09-6e00-4127-93e8-673498198392,2026/02/20,2026/02/20 20:30:56,2026/02/20 18:59:58,72731354,331942,飲放　果実酒,766512,ソーダ,1,0,0,0,0,1,0,,2665480,★飲放★　うぐいすとまり 鶯とろ,10,
7fe37e09-6e00-4127-93e8-673498198392,2026/02/20,2026/02/20 20:30:56,2026/02/20 18:59:25,72731354,331941,飲放　お茶割り,2665331,★飲放★　（酒！）黒烏龍茶割り,0,0,0,115,107,1,0,,,,10,
7fe37e09-6e00-4127-93e8-673498198392,2026/02/20,2026/02/20 20:30:56,2026/02/20 18:59:25,72731354,331941,飲放　お茶割り,774610,ICE,1,0,0,0,0,1,0,,2665331,★飲放★　黒烏龍茶割り,10,
7fe37e09-6e00-4127-93e8-673498198392,2026/02/20,2026/02/20 20:53:40,2026/02/20 18:57:27,72739946,330877,野菜,2870818,和牛ポテサラ,0,980,891,0,0,1,980,,,,10,line:Uc6d3ad5db76ff55a40c7c600789263dd
7fe37e09-6e00-4127-93e8-673498198392,2026/02/20,2026/02/20 20:53:40,2026/02/20 18:57:15,72739946,330875,酒の肴,2870459,酒の肴三種盛り,0,1780,1619,0,0,1,1780,,,,10,line:Uc6d3ad5db76ff55a40c7c600789263dd
7fe37e09-6e00-4127-93e8-673498198392,2026/02/20,2026/02/20 20:53:40,2026/02/20 18:57:15,72739946,330876,刺身,2870685,サーモン,0,1180,1073,0,0,1,1180,,,,10,line:Uc6d3ad5db76ff55a40c7c600789263dd
7fe37e09-6e00-4127-93e8-673498198392,2026/02/20,2026/02/20 20:53:40,2026/02/20 18:56:47,72739946,302247,ビール・ノンアルコール,2631905,アサヒスーパードライ（生ビール）,0,750,682,210,195,2,1500,,,,10,line:Uc6d3ad5db76ff55a40c7c600789263dd
7fe37e09-6e00-4127-93e8-673498198392,2026/02/20,2026/02/20 20:30:56,2026/02/20 18:45:56,72731354,309679,飲放　ジン・ハイボール,2665599,★飲放★　角ハイボール,0,0,0,45,42,1,0,,,,10,
7fe37e09-6e00-4127-93e8-673498198392,2026/02/20,2026/02/20 20:30:56,2026/02/20 18:37:48,72731354,331942,飲放　果実酒,2665480,★飲放★　うぐいすとまり 鶯とろ,0,0,0,165,153,1,0,,,,10,
7fe37e09-6e00-4127-93e8-673498198392,2026/02/20,2026/02/20 20:30:56,2026/02/20 18:37:48,72731354,331942,飲放　果実酒,766512,ソーダ,1,0,0,0,0,1,0,,2665480,★飲放★　うぐいすとまり 鶯とろ,10,
